nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,,,,,,,,,,,
619,-99.35088348,40.66854477,Buffalo,NE,Nebraska,ML,Midlands,1631,49284,,,,,,,,,,,
621,-99.43109131,40.67427444,Buffalo,NE,Nebraska,ML,Midlands,1631,49286,,,,,,,,,,,
622,-99.43109131,41.04669952,Buffalo,NE,Nebraska,ML,Midlands,1631,49287,,,,,,,,,,,
623,-99.21337128,41.04669952,Buffalo,NE,Nebraska,ML,Midlands,1631,49288,,,,,,,,,,,
638,-99.21337128,41.04669952,Sherman,NE,Nebraska,ML,Midlands,1703,50247,,,,,,,,,,,
641,-99.22483063,41.39047241,Valley,NE,Nebraska,ML,Midlands,1709,50307,,,,,,,,,,,
637,-99.21337128,41.39047241,Sherman,NE,Nebraska,ML,Midlands,1703,50244,,,,,,,,,,,
639,-99.21337128,41.39047241,Sherman,NE,Nebraska,ML,Midlands,1703,50248,,,,,,,,,,,
640,-99.21337128,41.39047241,Valley,NE,Nebraska,ML,Midlands,1709,50306,,,,,,,,,,,
627,-99.22483063,41.73997498,Garfield,NE,Nebraska,ML,Midlands,1657,49656,,,,,,,,,,,
642,-99.22483063,41.73997498,Valley,NE,Nebraska,ML,Midlands,1709,50308,,,,,,,,,,,
628,-99.2305603,42.08948135,Garfield,NE,Nebraska,ML,Midlands,1657,49657,,,,,,,,,,,
629,-99.2305603,42.08948135,Holt,NE,Nebraska,ML,Midlands,1666,49732,,,,,,,,,,,
631,-99.253479,42.43898392,Holt,NE,Nebraska,ML,Midlands,1666,49734,,,,,,,,,,,
630,-99.24201965,42.43898392,Holt,NE,Nebraska,ML,Midlands,1666,49733,,,,,,,,,,,
633,-99.27066803,42.7884903,Holt,NE,Nebraska,ML,Midlands,1666,49736,,,,,,,,,,,
632,-99.253479,42.7884903,Holt,NE,Nebraska,ML,Midlands,1666,49735,,,,,,,,,,,
610,-99.26493835,42.80567551,Boyd,NE,Nebraska,ML,Midlands,1629,49212,,,,,,,,,,,
613,-99.26493835,42.80567551,Boyd,NE,Nebraska,ML,Midlands,1629,49244,,,,,,,,,,,
634,-99.26493835,42.80567551,Holt,NE,Nebraska,ML,Midlands,1666,49737,,,,,,,,,,,
611,-99.26493835,42.99475479,Boyd,NE,Nebraska,ML,Midlands,1629,49213,,,,,,,,,,,
