"","Long","Lat","County","StateCode","State","NationCode","Nation","Group","Order"
"171",-88.2526931762695,33.7357559204102,"Lamar","CO","Colorado","GA","Greater Appalachia",38,1816
"172",-88.2068557739258,34.0623397827148,"Marion","AL","Alabama","GA","Greater Appalachia",47,2172
"173",-88.2068557739258,34.0795288085938,"Marion","AL","Alabama","GA","Greater Appalachia",47,2173
"174",-77.0169906616211,38.9725875854492,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12205
"175",-76.9310455322266,38.8923759460449,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12206
"176",-77.0513610839844,38.8064308166504,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12207
"177",-77.0513610839844,38.8293495178223,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12208
"178",-77.0628280639648,38.8637275695801,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12209
"179",-77.0742797851562,38.8866424560547,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12210
"180",-77.0971984863281,38.9095611572266,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12211
"181",-77.1373062133789,38.9439430236816,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12212
"182",-77.0628280639648,38.9955062866211,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12213
"183",-77.0169906616211,38.9725875854492,"District of Columbia","DC","Washington DC",NA,"Federal Entity",289,12214
"184",-87.8344268798828,33.5180282592773,"Pickens","AL","Alabama","DS","Deep South",54,2449
"185",-88.2756042480469,33.5294914245605,"Pickens","AL","Alabama","DS","Deep South",54,2470
"186",-87.9547500610352,33.5180282592773,"Pickens","AL","Alabama","DS","Deep South",54,2471
"187",-87.8344268798828,33.5180282592773,"Pickens","AL","Alabama","DS","Deep South",54,2472
"188",-86.5681915283203,33.7758636474609,"St. Clair","AL","Alabama","DS","Deep South",58,2595
"189",-86.5681915283203,33.8102378845215,"St. Clair","AL","Alabama","DS","Deep South",58,2596
"190",-86.5280838012695,33.8102378845215,"St. Clair","AL","Alabama","DS","Deep South",58,2597
"191",-86.4822463989258,33.8102378845215,"St. Clair","AL","Alabama","DS","Deep South",58,2598
"192",-86.4707870483398,33.8274269104004,"St. Clair","AL","Alabama","DS","Deep South",58,2599
"193",-86.4478759765625,33.8331565856934,"St. Clair","AL","Alabama","DS","Deep South",58,2600
"194",-86.4306793212891,33.8331565856934,"St. Clair","AL","Alabama","DS","Deep South",58,2601
"195",-86.3848419189453,33.8789939880371,"St. Clair","AL","Alabama","DS","Deep South",58,2602
"196",-86.361930847168,33.890453338623,"St. Clair","AL","Alabama","DS","Deep South",58,2603
"197",-86.350471496582,33.901912689209,"St. Clair","AL","Alabama","DS","Deep South",58,2604
"198",-86.350471496582,33.9248313903809,"St. Clair","AL","Alabama","DS","Deep South",58,2605
"199",-86.3332824707031,33.9477462768555,"St. Clair","AL","Alabama","DS","Deep South",58,2606
"200",-86.3160934448242,33.9763984680176,"St. Clair","AL","Alabama","DS","Deep South",58,2607
"201",-86.2988967895508,33.9935836791992,"St. Clair","AL","Alabama","DS","Deep South",58,2608
"202",-86.2817153930664,33.9935836791992,"St. Clair","AL","Alabama","DS","Deep South",58,2609
"203",-86.253059387207,33.9763984680176,"St. Clair","AL","Alabama","DS","Deep South",58,2610
"204",-86.2186889648438,33.9993171691895,"St. Clair","AL","Alabama","DS","Deep South",58,2611
"205",-86.2129592895508,33.9993171691895,"St. Clair","AL","Alabama","DS","Deep South",58,2612
"206",-86.2014999389648,33.9935836791992,"St. Clair","AL","Alabama","DS","Deep South",58,2613
"207",-86.1671295166016,33.9592094421387,"St. Clair","AL","Alabama","DS","Deep South",58,2614
"208",-86.1671295166016,33.9420204162598,"St. Clair","AL","Alabama","DS","Deep South",58,2615
"209",-86.1499328613281,33.9248313903809,"St. Clair","AL","Alabama","DS","Deep South",58,2616
"210",-86.1499328613281,33.9191017150879,"St. Clair","AL","Alabama","DS","Deep South",58,2617
"211",-86.1442031860352,33.9133720397949,"St. Clair","AL","Alabama","DS","Deep South",58,2618
"212",-86.1270217895508,33.9133720397949,"St. Clair","AL","Alabama","DS","Deep South",58,2619
"213",-86.1098251342773,33.901912689209,"St. Clair","AL","Alabama","DS","Deep South",58,2620
"214",-86.1040954589844,33.8789939880371,"St. Clair","AL","Alabama","DS","Deep South",58,2621
"215",-86.0926361083984,33.8675346374512,"St. Clair","AL","Alabama","DS","Deep South",58,2622
"216",-86.0754547119141,33.8675346374512,"St. Clair","AL","Alabama","DS","Deep South",58,2623
"217",-86.0639877319336,33.8675346374512,"St. Clair","AL","Alabama","DS","Deep South",58,2624
"218",-86.0639877319336,33.8388862609863,"St. Clair","AL","Alabama","DS","Deep South",58,2625
"219",-87.8344268798828,33.5180282592773,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2955
"220",-87.6682739257812,33.5180282592773,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2956
"221",-87.6625442504883,33.586784362793,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2957
"222",-87.6281661987305,33.586784362793,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2958
"223",-87.6281661987305,33.6154365539551,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2959
"224",-87.4104385375977,33.6097030639648,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2960
"225",-87.3531494140625,33.6097030639648,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2961
"226",-87.3531494140625,33.5982437133789,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2962
"227",-87.3073120117188,33.5925178527832,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2963
"228",-87.3073120117188,33.5180282592773,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2964
"229",-87.261474609375,33.5180282592773,"Tuscaloosa","AL","Alabama","DS","Deep South",63,2965
"230",-86.9406204223633,33.8102378845215,"Walker","AL","Alabama","GA","Greater Appalachia",64,3019
"231",-86.9463500976562,33.8102378845215,"Walker","AL","Alabama","GA","Greater Appalachia",64,3020
"232",-86.9520797729492,33.8102378845215,"Walker","AL","Alabama","GA","Greater Appalachia",64,3021
"233",-86.9578018188477,33.7987823486328,"Walker","AL","Alabama","GA","Greater Appalachia",64,3022
"234",-86.9979095458984,33.7930526733398,"Walker","AL","Alabama","GA","Greater Appalachia",64,3023
"235",-86.9979095458984,33.7873191833496,"Walker","AL","Alabama","GA","Greater Appalachia",64,3024
"236",-87.0150985717773,33.7873191833496,"Walker","AL","Alabama","GA","Greater Appalachia",64,3025
"237",-87.0150985717773,33.7472152709961,"Walker","AL","Alabama","GA","Greater Appalachia",64,3026
"238",-87.0208282470703,33.7472152709961,"Walker","AL","Alabama","GA","Greater Appalachia",64,3027
"239",-87.0265579223633,33.7357559204102,"Walker","AL","Alabama","GA","Greater Appalachia",64,3028
"240",-87.0265579223633,33.6956481933594,"Walker","AL","Alabama","GA","Greater Appalachia",64,3029
"241",-87.0552062988281,33.6956481933594,"Walker","AL","Alabama","GA","Greater Appalachia",64,3030
"242",-87.0552062988281,33.6612701416016,"Walker","AL","Alabama","GA","Greater Appalachia",64,3031
"243",-87.078125,33.6612701416016,"Walker","AL","Alabama","GA","Greater Appalachia",64,3032
"244",-87.083854675293,33.638355255127,"Walker","AL","Alabama","GA","Greater Appalachia",64,3033
"245",-87.1411514282227,33.638355255127,"Walker","AL","Alabama","GA","Greater Appalachia",64,3034
"246",-87.1411514282227,33.6211624145508,"Walker","AL","Alabama","GA","Greater Appalachia",64,3035
"247",-87.1755294799805,33.6211624145508,"Walker","AL","Alabama","GA","Greater Appalachia",64,3036
"248",-87.1755294799805,33.5982437133789,"Walker","AL","Alabama","GA","Greater Appalachia",64,3037
"249",-87.2041702270508,33.5982437133789,"Walker","AL","Alabama","GA","Greater Appalachia",64,3038
"250",-87.2099075317383,33.5524101257324,"Walker","AL","Alabama","GA","Greater Appalachia",64,3039
"251",-87.2213668823242,33.5524101257324,"Walker","AL","Alabama","GA","Greater Appalachia",64,3040
"252",-87.2270965576172,33.5294914245605,"Walker","AL","Alabama","GA","Greater Appalachia",64,3041
"253",-87.2385559082031,33.5294914245605,"Walker","AL","Alabama","GA","Greater Appalachia",64,3042
"254",-87.2500076293945,33.5409469604492,"Walker","AL","Alabama","GA","Greater Appalachia",64,3043
"255",-87.261474609375,33.5352210998535,"Walker","AL","Alabama","GA","Greater Appalachia",64,3044
"256",-87.261474609375,33.5294914245605,"Walker","AL","Alabama","GA","Greater Appalachia",64,3045
"257",-87.261474609375,33.5180282592773,"Walker","AL","Alabama","GA","Greater Appalachia",64,3046
"258",-87.3073120117188,33.5180282592773,"Walker","AL","Alabama","GA","Greater Appalachia",64,3047
"259",-87.3073120117188,33.5925178527832,"Walker","AL","Alabama","GA","Greater Appalachia",64,3048
"260",-87.3531494140625,33.5982437133789,"Walker","AL","Alabama","GA","Greater Appalachia",64,3049
"261",-87.3531494140625,33.6097030639648,"Walker","AL","Alabama","GA","Greater Appalachia",64,3050
"262",-87.4104385375977,33.6097030639648,"Walker","AL","Alabama","GA","Greater Appalachia",64,3051
"263",-81.5662689208984,27.0321483612061,"Charlotte","FL","Florida","SC","Spanish Caribbean",297,12435
"264",-81.5662689208984,27.0321483612061,"DeSoto","FL","Florida","SC","Spanish Caribbean",303,12691
