nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,NationGroup,n
297,-106.0945892,38.42827988,Saguache,CO,Colorado,EN,El Norte,269,11487,3,308
298,-106.0602188,38.45692444,Saguache,CO,Colorado,EN,El Norte,269,11488,3,309
306,-106.0373001,38.4454689,Saguache,CO,Colorado,EN,El Norte,269,11489,3,310
311,-105.7909317,38.24493408,Saguache,CO,Colorado,EN,El Norte,269,11490,3,311
312,-105.7794647,38.22201538,Saguache,CO,Colorado,EN,El Norte,269,11491,3,312
313,-105.722168,38.18763733,Saguache,CO,Colorado,EN,El Norte,269,11492,3,313
314,-105.6877899,38.13034058,Saguache,CO,Colorado,EN,El Norte,269,11493,3,314
315,-105.6820602,38.08450317,Saguache,CO,Colorado,EN,El Norte,269,11494,3,315
317,-105.6018448,38.02720642,Saguache,CO,Colorado,EN,El Norte,269,11495,3,316
316,-105.6133118,38.00428772,Saguache,CO,Colorado,EN,El Norte,269,11496,3,317
318,-105.5846634,37.96991348,Saguache,CO,Colorado,EN,El Norte,269,11497,3,318
319,-105.5445557,37.94699478,Saguache,CO,Colorado,EN,El Norte,269,11498,3,319
321,-105.4929886,37.90688705,Saguache,CO,Colorado,EN,El Norte,269,11499,3,320
325,-105.4815292,37.88396835,Saguache,CO,Colorado,EN,El Norte,269,11500,3,321
326,-105.4700699,37.86677933,Saguache,CO,Colorado,EN,El Norte,269,11501,3,322
332,-105.4528809,37.84959412,Saguache,CO,Colorado,EN,El Norte,269,11502,3,323
333,-105.4528809,37.79229736,Saguache,CO,Colorado,EN,El Norte,269,11503,3,324
331,-105.4586105,37.77510834,Saguache,CO,Colorado,EN,El Norte,269,11504,3,325
328,-105.4643402,37.73500061,Saguache,CO,Colorado,EN,El Norte,269,11472,3,326
329,-105.4643402,37.73500061,Saguache,CO,Colorado,EN,El Norte,269,11505,3,327
327,-105.4643402,37.73500061,Alamosa,CO,Colorado,EN,El Norte,216,10020,3,328
330,-105.4586105,37.71781158,Alamosa,CO,Colorado,EN,El Norte,216,10021,3,329
324,-105.4815292,37.69489288,Alamosa,CO,Colorado,EN,El Norte,216,10022,3,330
320,-105.4987183,37.5974884,Alamosa,CO,Colorado,EN,El Norte,216,10023,3,331
322,-105.4872589,37.56311417,Alamosa,CO,Colorado,EN,El Norte,216,10024,3,332
323,-105.4872589,37.56311417,Costilla,CO,Colorado,EN,El Norte,226,10266,3,333
334,-105.4414215,37.59175873,Costilla,CO,Colorado,EN,El Norte,226,10267,3,334
335,-105.4299698,37.6204071,Costilla,CO,Colorado,EN,El Norte,226,10268,3,335
